"Location","Population (in thousands) total 2006","Population annual growth rate (%) 1990","Population annual growth rate (%) 1991","Population annual growth rate (%) 1992","Population annual growth rate (%) 1993","Population annual growth rate (%) 1994","Population annual growth rate (%) 1995","Population annual growth rate (%) 1996","Population annual growth rate (%) 1997","Population annual growth rate (%) 1998","Population annual growth rate (%) 1999","Population annual growth rate (%) 2000","Population annual growth rate (%) 2001","Population annual growth rate (%) 2002","Population annual growth rate (%) 2003","Population annual growth rate (%) 2004","Population annual growth rate (%) 2005","Population annual growth rate (%) 2006","Population in urban areas (%) 1990","Population in urban areas (%) 2000","Population in urban areas (%) 2006","Population living below the poverty line (% living on < US$1 per day), 2000","Population living below the poverty line (% living on < US$1 per day), 2001","Population living below the poverty line (% living on < US$1 per day), 2002","Population living below the poverty line (% living on < US$1 per day), 2003","Population living below the poverty line (% living on < US$1 per day), 2004","Population median age (years), 2006","Population proportion over 60 (%) 2006","Population proportion under 15 (%) 2006"
"Fiji","833.0","0.5","0.9","1.2","1.4","1.3","1.2","1.0","0.9","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.6","0.6","42.0","48.0","51.0","","","","","","24.0","7.0","33.0"
"Japan","127953.0","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.0","63.0","65.0","66.0","","","","","","43.0","27.0","14.0"
"Kiribati","94.0","2.2","1.8","1.5","1.3","1.3","1.4","1.5","1.6","1.7","1.8","1.8","1.8","1.9","1.9","1.8","1.7","1.7","35.0","36.0","42.0","","","","","","","6.0","32.0"
"Lao People's Democratic Republic","5759.0","3.0","3.0","2.9","2.9","2.7","2.6","2.4","2.3","2.1","2.0","1.9","1.7","1.6","1.6","1.6","1.6","1.7","15.0","19.0","21.0","","","27.0","","","20.0","5.0","39.0"
"Malaysia","26114.0","2.8","2.7","2.6","2.5","2.5","2.5","2.5","2.5","2.5","2.4","2.3","2.1","2.0","1.9","1.9","1.8","1.8","50.0","62.0","68.0","","","","","","25.0","7.0","31.0"
"Marshall Islands","58.0","3.2","2.5","1.9","1.4","1.0","0.8","0.5","0.3","0.2","0.4","0.7","1.1","1.5","1.8","2.0","2.1","2.2","65.0","65.0","66.0","","","","","","","6.0","32.0"
"Micronesia (Federated States of)","111.0","2.3","2.5","2.6","2.4","2.0","1.3","0.6","0.0","-0.3","-0.3","-0.1","0.2","0.5","0.7","0.7","0.6","0.5","26.0","22.0","22.0","","","","","","20.0","5.0","38.0"
"Mongolia","2605.0","2.5","2.1","1.8","1.4","1.2","1.0","0.8","0.7","0.6","0.6","0.6","0.8","0.9","0.9","0.9","0.9","0.9","57.0","57.0","57.0","","","10.8","","","25.0","6.0","28.0"
"Nauru","10.0","2.2","2.1","2.0","1.8","1.5","1.1","0.6","0.2","0.0","-0.1","0.0","0.0","0.1","0.2","0.2","0.2","0.2","100.0","100.0","100.0","","","","","","","6.0","32.0"
"New Zealand","4140.0","1.2","1.4","1.6","1.6","1.5","1.3","1.1","0.9","0.9","0.9","1.0","1.2","1.3","1.3","1.3","1.1","1.0","85.0","86.0","86.0","","","","","","36.0","17.0","21.0"
"Niue","2.0","-2.5","-1.1","0.2","0.8","0.3","-0.7","-2.1","-3.3","-4.1","-4.4","-4.0","-3.5","-3.1","-2.7","-2.4","-2.4","-2.2","31.0","31.0","33.0","","","","","","","8.0","34.0"
"Palau","20.0","2.1","2.4","2.6","2.7","2.8","2.8","2.8","2.8","2.6","2.3","1.9","1.4","1.0","0.7","0.6","0.5","0.5","70.0","71.0","70.0","","","","","","","6.0","32.0"
"Papua New Guinea","6202.0","2.6","2.6","2.6","2.6","2.6","2.7","2.7","2.7","2.7","2.7","2.6","2.5","2.5","2.4","2.3","2.2","2.2","13.0","13.0","13.0","","","","","","20.0","4.0","40.0"
"Philippines","86264.0","2.4","2.3","2.3","2.3","2.2","2.2","2.2","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.0","2.0","49.0","59.0","63.0","","","","14.8","","22.0","6.0","36.0"
"Republic of Korea","48050.0","1.0","1.0","1.0","1.0","1.0","0.9","0.9","0.8","0.8","0.7","0.6","0.6","0.5","0.4","0.4","0.4","0.4","74.0","80.0","81.0","","","","","","36.0","14.0","18.0"
"Samoa","185.0","0.7","0.7","0.8","0.8","0.9","1.0","1.1","1.1","1.1","1.1","1.0","0.8","0.7","0.6","0.7","0.7","0.8","21.0","22.0","23.0","","","","","","20.0","7.0","40.0"
"Singapore","4382.0","2.4","2.6","2.7","2.9","3.0","3.0","3.1","3.1","3.0","2.8","2.4","2.0","1.6","1.4","1.3","1.2","1.3","100.0","100.0","100.0","","","","","","38.0","13.0","19.0"
"Solomon Islands","484.0","2.8","2.8","2.9","2.9","2.9","2.8","2.8","2.8","2.8","2.7","2.7","2.7","2.6","2.6","2.5","2.5","2.4","14.0","16.0","17.0","","","","","","20.0","5.0","40.0"
"Tonga","100.0","0.7","0.7","0.7","0.6","0.6","0.4","0.3","0.2","0.1","0.1","0.1","0.2","0.2","0.3","0.3","0.4","0.5","23.0","23.0","24.0","","","","","","21.0","9.0","37.0"
"Tuvalu","10.0","1.4","1.1","0.9","0.7","0.6","0.7","0.8","0.8","0.8","0.7","0.7","0.6","0.5","0.5","0.5","0.4","0.4","41.0","44.0","46.0","","","","","","","8.0","34.0"
"Vanuatu","221.0","2.7","2.9","3.0","3.0","2.8","2.5","2.1","1.9","1.8","1.8","2.1","2.3","2.5","2.6","2.6","2.6","2.5","19.0","22.0","24.0","","","","","","20.0","5.0","39.0"
"Viet Nam","86206.0","2.2","2.2","2.2","2.1","2.0","1.8","1.7","1.6","1.5","1.4","1.4","1.5","1.5","1.5","1.4","1.4","1.4","20.0","24.0","27.0","","","","","","25.0","8.0","29.0"

