"Location","Population (in thousands) total 2006","Population annual growth rate (%) 1990","Population annual growth rate (%) 1991","Population annual growth rate (%) 1992","Population annual growth rate (%) 1993","Population annual growth rate (%) 1994","Population annual growth rate (%) 1995","Population annual growth rate (%) 1996","Population annual growth rate (%) 1997","Population annual growth rate (%) 1998","Population annual growth rate (%) 1999","Population annual growth rate (%) 2000","Population annual growth rate (%) 2001","Population annual growth rate (%) 2002","Population annual growth rate (%) 2003","Population annual growth rate (%) 2004","Population annual growth rate (%) 2005","Population annual growth rate (%) 2006","Population in urban areas (%) 1990","Population in urban areas (%) 2000","Population in urban areas (%) 2006","Population living below the poverty line (% living on < US$1 per day), 2000","Population living below the poverty line (% living on < US$1 per day), 2001","Population living below the poverty line (% living on < US$1 per day), 2002","Population living below the poverty line (% living on < US$1 per day), 2003","Population living below the poverty line (% living on < US$1 per day), 2004","Population median age (years), 2006","Population proportion over 60 (%) 2006","Population proportion under 15 (%) 2006"
"Dominican Republic","9615.0","1.9","1.9","1.9","1.9","1.9","1.8","1.8","1.8","1.7","1.7","1.7","1.7","1.6","1.6","1.6","1.5","1.5","55.0","62.0","68.0","","","","","2.8","24.0","8.0","33.0"
"Ecuador","13202.0","2.3","2.3","2.2","2.1","2.0","1.9","1.7","1.6","1.5","1.4","1.4","1.3","1.2","1.2","1.1","1.1","1.1","55.0","60.0","63.0","","","","","","24.0","9.0","32.0"
"El Salvador","6762.0","1.7","1.8","1.9","2.0","2.0","2.0","2.0","2.0","1.9","1.9","1.7","1.6","1.5","1.4","1.4","1.4","1.4","49.0","58.0","60.0","","","19.0","","","24.0","8.0","34.0"
"Grenada","106.0","-0.8","-0.1","0.4","0.8","0.8","0.7","0.4","0.3","0.3","0.4","0.6","0.9","1.1","1.1","1.0","0.7","0.3","32.0","31.0","31.0","","","","","","23.0","10.0","33.0"
"Guatemala","13029.0","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.4","2.4","2.5","2.5","2.5","2.5","2.5","41.0","45.0","48.0","","","13.5","","","18.0","6.0","43.0"
"Guyana","739.0","-0.4","0.0","0.2","0.4","0.4","0.2","0.0","-0.1","-0.2","-0.2","-0.1","0.1","0.2","0.2","0.2","0.1","-0.1","30.0","29.0","28.0","","","","","","27.0","9.0","31.0"
"Haiti","9446.0","2.1","2.0","2.0","1.9","1.9","1.9","1.9","1.8","1.8","1.8","1.7","1.7","1.6","1.6","1.6","1.6","1.6","29.0","36.0","39.0","","53.9","","","","21.0","6.0","38.0"
"Honduras","6969.0","2.8","2.8","2.7","2.6","2.5","2.4","2.3","2.2","2.1","2.0","2.0","2.0","2.0","2.0","1.9","1.9","2.0","40.0","44.0","47.0","","","","14.9","","20.0","6.0","39.0"
"Jamaica","2699.0","0.6","0.8","1.0","1.0","1.0","1.0","0.9","0.8","0.8","0.8","0.8","0.8","0.7","0.7","0.7","0.6","0.6","49.0","52.0","53.0","<2.0","","","","","25.0","10.0","31.0"
"Mexico","105342.0","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.7","1.6","1.3","1.1","0.9","0.8","0.8","0.9","1.0","72.0","75.0","76.0","","","","","3.0","26.0","9.0","30.0"
"Nicaragua","5532.0","2.2","2.4","2.5","2.5","2.4","2.2","2.1","1.9","1.8","1.7","1.6","1.5","1.4","1.3","1.3","1.3","1.3","53.0","57.0","59.0","","45.1","","","","21.0","6.0","37.0"
"Panama","3288.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.9","1.9","1.9","1.8","1.8","1.8","1.7","54.0","66.0","72.0","","","","7.4","","26.0","9.0","30.0"
"Paraguay","6016.0","2.6","2.6","2.5","2.4","2.4","2.3","2.3","2.2","2.2","2.1","2.1","2.0","2.0","2.0","1.9","1.9","1.9","49.0","55.0","59.0","","","","13.6","","22.0","7.0","35.0"
"Peru","27589.0","2.1","2.0","1.9","1.8","1.8","1.7","1.6","1.5","1.5","1.4","1.3","1.3","1.2","1.2","1.2","1.2","1.1","69.0","72.0","73.0","","","","10.5","","25.0","8.0","31.0"
"Saint Kitts and Nevis","50.0","0.0","0.5","1.0","1.3","1.4","1.4","1.4","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","1.3","35.0","34.0","33.0","","","","","","","11.0","28.0"
"Saint Lucia","163.0","1.6","1.4","1.3","1.2","1.1","1.0","0.9","0.9","0.8","0.9","0.9","1.0","1.1","1.1","1.1","1.1","1.1","29.0","28.0","28.0","","","","","","26.0","10.0","27.0"
"Saint Vincent and the Grenadines","120.0","0.9","0.8","0.7","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.5","0.5","41.0","44.0","46.0","","","","","","25.0","9.0","29.0"
"Suriname","455.0","0.8","0.7","0.6","0.6","0.7","0.8","0.9","1.0","1.0","1.0","0.9","0.8","0.8","0.7","0.7","0.6","0.6","68.0","72.0","74.0","","","","","","26.0","9.0","29.0"
"Trinidad and Tobago","1328.0","0.6","0.7","0.8","0.8","0.8","0.7","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.3","0.3","0.3","0.4","9.0","11.0","13.0","","","","","","29.0","10.0","22.0"
"United States of America","302841.0","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","75.0","79.0","81.0","","","","","","36.0","17.0","21.0"
"Uruguay","3331.0","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.5","0.4","0.2","0.0","0.0","0.0","0.1","0.2","89.0","91.0","92.0","<2.0","","","","","33.0","18.0","24.0"
"Venezuela","27191.0","2.5","2.4","2.3","2.2","2.2","2.1","2.1","2.0","2.0","2.0","1.9","1.9","1.8","1.8","1.8","1.8","1.7","84.0","91.0","94.0","","","","18.5","","25.0","8.0","31.0"
"Afghanistan","26088.0","4.2","6.6","8.3","8.6","7.5","5.7","3.9","2.6","1.8","1.9","2.5","3.2","3.7","4.0","4.1","4.0","4.0","18.0","21.0","23.0","","","","","","16.0","4.0","47.0"
"Bahrain","739.0","3.5","3.4","3.3","3.2","3.1","2.8","2.6","2.4","2.3","2.2","2.2","2.3","2.2","2.2","2.1","2.0","1.9","88.0","95.0","97.0","","","","","","29.0","5.0","26.0"
"Djibouti","819.0","5.0","3.4","2.2","1.5","1.6","2.2","2.8","3.3","3.4","3.2","2.8","2.4","2.0","1.8","1.7","1.7","1.8","76.0","83.0","87.0","","","","","","20.0","5.0","38.0"
"Egypt","74166.0","2.1","2.0","1.9","1.9","1.8","1.8","1.9","1.9","1.9","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","43.0","42.0","43.0","3.1","","","","","23.0","7.0","33.0"
"Iran (Islamic Republic of)","70270.0","2.6","2.3","2.0","1.8","1.6","1.5","1.4","1.3","1.2","1.1","1.0","1.0","0.9","0.9","1.0","1.1","1.2","56.0","64.0","67.0","","","","","","24.0","6.0","28.0"
"Iraq","28506.0","2.8","2.9","3.1","3.2","3.2","3.2","3.1","3.1","3.0","2.8","2.7","2.5","2.4","2.2","2.1","1.9","1.8","70.0","68.0","67.0","","","","","","19.0","5.0","41.0"
"Jordan","5729.0","4.8","5.7","6.3","6.2","5.4","4.3","3.1","2.2","1.7","1.7","2.1","2.5","2.7","3.0","3.1","3.2","3.3","72.0","80.0","83.0","","","","<2.0","","21.0","5.0","37.0"
"Kuwait","2779.0","0.8","-2.3","-5.1","-6.5","-5.5","-2.4","1.6","4.8","6.6","6.7","5.8","4.8","4.2","3.7","3.3","3.1","2.9","98.0","98.0","98.0","","","","","","29.0","3.0","24.0"
"Lebanon","4055.0","1.6","2.6","3.4","3.7","3.4","2.9","2.2","1.7","1.4","1.2","1.2","1.3","1.3","1.2","1.2","1.1","1.1","83.0","86.0","87.0","","","","","","27.0","10.0","28.0"
"Libyan Arab Jamahiriya","6039.0","2.1","2.1","2.1","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","79.0","83.0","85.0","","","","","","25.0","6.0","30.0"
"Morocco","30853.0","1.9","1.8","1.7","1.6","1.6","1.5","1.5","1.4","1.3","1.3","1.2","1.2","1.1","1.1","1.1","1.1","1.2","48.0","55.0","59.0","","","","","","25.0","8.0","30.0"
"Oman","2546.0","3.6","3.6","3.5","3.4","3.1","2.8","2.6","2.3","2.1","1.7","1.4","1.0","0.7","0.6","0.8","1.1","1.6","65.0","72.0","71.0","","","","","","23.0","4.0","33.0"
"Pakistan","160943.0","3.1","2.7","2.5","2.3","2.3","2.4","2.5","2.6","2.5","2.4","2.2","2.0","1.8","1.7","1.7","1.8","1.8","31.0","33.0","35.0","","","17.0","","","21.0","6.0","36.0"
"Qatar","821.0","3.7","3.0","2.4","2.1","2.1","2.2","2.4","2.6","3.0","3.6","4.4","5.1","5.7","5.6","5.0","4.1","3.1","92.0","95.0","96.0","","","","","","31.0","3.0","21.0"
"Saudi Arabia","24175.0","3.6","2.9","2.4","2.0","2.0","2.2","2.4","2.6","2.7","2.7","2.7","2.6","2.6","2.5","2.5","2.4","2.4","77.0","80.0","81.0","","","","","","24.0","4.0","34.0"
"Somalia","8445.0","0.0","-1.1","-1.9","-2.2","-1.6","-0.5","0.9","2.1","2.9","3.2","3.1","3.0","3.0","3.0","3.0","3.0","3.0","30.0","33.0","36.0","","","","","","18.0","4.0","44.0"
"Sudan","37707.0","2.4","2.5","2.6","2.6","2.6","2.6","2.6","2.6","2.5","2.4","2.3","2.1","2.0","1.9","2.0","2.1","2.2","27.0","36.0","42.0","","","","","","20.0","6.0","40.0"
"Syrian Arab Republic","19408.0","3.0","2.9","2.9","2.8","2.7","2.6","2.5","2.4","2.4","2.4","2.5","2.6","2.7","2.7","2.7","2.7","2.7","49.0","50.0","51.0","","","","","","21.0","5.0","36.0"
"Tunisia","10215.0","2.1","2.0","1.9","1.8","1.6","1.5","1.4","1.3","1.2","1.2","1.2","1.1","1.1","1.1","1.1","1.1","1.1","60.0","63.0","66.0","<2.0","","","","","27.0","9.0","25.0"
"United Arab Emirates","4248.0","5.4","5.2","5.1","5.2","5.3","5.6","5.8","5.9","5.9","5.8","5.5","5.3","5.1","4.8","4.4","3.9","3.5","79.0","77.0","77.0","","","","","","30.0","2.0","20.0"
"Yemen","21732.0","4.3","4.7","4.9","4.9","4.6","4.1","3.6","3.3","3.0","2.9","2.9","3.0","3.0","3.0","3.0","3.0","3.0","21.0","25.0","28.0","","","","","","17.0","4.0","45.0"
"Albania","3172.0","1.0","0.1","-0.7","-1.2","-1.4","-1.2","-0.9","-0.7","-0.4","-0.2","0.0","0.2","0.4","0.6","0.6","0.6","0.6","36.0","42.0","46.0","","","<2.0","","","29.0","13.0","26.0"
"Andorra","74.0","2.9","4.0","4.7","4.8","4.0","2.8","1.5","0.4","-0.1","0.1","0.8","1.6","2.2","2.4","2.2","1.6","1.0","95.0","93.0","93.0","","","","","","","22.0","14.0"
"Armenia","3010.0","0.1","-0.9","-1.8","-2.3","-2.4","-2.0","-1.5","-1.1","-0.8","-0.6","-0.6","-0.6","-0.5","-0.4","-0.4","-0.3","-0.3","67.0","65.0","64.0","","","","<2.0","","32.0","14.0","20.0"
"Austria","8327.0","0.6","0.8","0.9","0.9","0.8","0.6","0.4","0.2","0.0","0.1","0.2","0.3","0.4","0.5","0.5","0.5","0.4","66.0","66.0","66.0","","","","","","40.0","22.0","16.0"
"Azerbaijan","8406.0","1.6","1.6","1.7","1.6","1.5","1.3","1.2","1.0","0.9","0.7","0.7","0.6","0.5","0.5","0.5","0.6","0.6","54.0","51.0","52.0","","3.7","","","","28.0","9.0","24.0"
"Belarus","9742.0","0.3","0.2","0.1","0.0","-0.1","-0.2","-0.3","-0.4","-0.4","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","66.0","70.0","73.0","<2.0","","","","","38.0","18.0","15.0"
"Belgium","10430.0","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.3","0.4","0.4","0.4","0.4","0.4","0.3","96.0","97.0","97.0","","","","","","41.0","22.0","17.0"
"Bosnia and Herzegovina","3926.0","-1.2","-3.2","-5.1","-6.0","-5.4","-3.3","-0.6","1.8","3.2","3.3","2.5","1.5","0.9","0.4","0.2","0.3","0.3","39.0","43.0","46.0","","","","","","38.0","19.0","17.0"
"Bulgaria","7693.0","-0.7","-0.9","-1.1","-1.2","-1.2","-1.1","-1.0","-0.9","-0.8","-0.8","-0.8","-0.7","-0.7","-0.6","-0.6","-0.6","-0.7","66.0","69.0","70.0","","","","<2.0","","41.0","23.0","14.0"
"Croatia","4556.0","0.4","0.7","0.9","0.9","0.6","0.2","-0.3","-0.8","-1.0","-0.9","-0.6","-0.2","0.2","0.4","0.4","0.3","0.1","54.0","56.0","57.0","","<2.0","","","","41.0","22.0","15.0"
"Cyprus","846.0","1.1","1.3","1.4","1.5","1.5","1.5","1.5","1.5","1.5","1.4","1.4","1.3","1.3","1.2","1.2","1.1","1.1","67.0","69.0","69.0","","","","","","35.0","17.0","19.0"
"Czech Republic","10189.0","0.0","0.0","0.0","0.0","0.0","-0.1","-0.1","-0.2","-0.2","-0.2","-0.2","-0.1","-0.1","0.0","0.0","0.0","0.0","75.0","74.0","73.0","","","","","","39.0","20.0","14.0"
"Denmark","5430.0","0.2","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.2","85.0","85.0","86.0","","","","","","40.0","22.0","19.0"
"Estonia","1340.0","-0.3","-1.0","-1.6","-2.0","-2.1","-1.8","-1.5","-1.2","-0.9","-0.7","-0.6","-0.5","-0.4","-0.3","-0.3","-0.3","-0.3","71.0","69.0","69.0","","","","<2.0","","39.0","22.0","15.0"
"Finland","5261.0","0.4","0.5","0.5","0.5","0.5","0.4","0.3","0.3","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","61.0","61.0","61.0","","","","","","41.0","22.0","17.0"
"France","61330.0","0.5","0.5","0.6","0.5","0.5","0.4","0.4","0.3","0.3","0.3","0.4","0.5","0.6","0.6","0.6","0.6","0.6","74.0","76.0","77.0","","","","","","39.0","21.0","18.0"
"Georgia","4433.0","-0.2","-0.9","-1.5","-1.9","-2.0","-1.8","-1.6","-1.4","-1.2","-1.1","-1.1","-1.2","-1.1","-1.1","-1.0","-1.0","-0.9","55.0","53.0","52.0","","","","6.5","","36.0","18.0","18.0"
"Germany","82641.0","0.6","0.6","0.6","0.6","0.5","0.4","0.3","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.0","0.0","73.0","75.0","75.0","","","","","","42.0","25.0","14.0"
"Greece","11123.0","0.6","0.8","1.0","1.0","1.0","0.9","0.8","0.7","0.6","0.5","0.4","0.3","0.2","0.2","0.2","0.2","0.2","59.0","59.0","59.0","","","","","","40.0","23.0","14.0"
"Hungary","10058.0","-0.3","-0.2","-0.1","0.0","0.0","-0.1","-0.1","-0.2","-0.2","-0.3","-0.3","-0.2","-0.2","-0.2","-0.3","-0.3","-0.3","66.0","65.0","67.0","","","<2.0","","","39.0","21.0","15.0"
"Iceland","298.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9","91.0","92.0","93.0","","","","","","35.0","16.0","22.0"
"Ireland","4221.0","-0.1","0.2","0.4","0.6","0.7","0.8","0.8","0.9","1.0","1.2","1.3","1.5","1.6","1.7","1.8","1.8","1.9","57.0","59.0","61.0","","","","","","34.0","15.0","21.0"
"Israel","6810.0","2.6","3.2","3.6","3.8","3.6","3.3","2.9","2.6","2.4","2.3","2.2","2.1","2.0","1.9","1.8","1.8","1.7","90.0","91.0","92.0","","","","","","29.0","13.0","28.0"
"Italy","58779.0","0.1","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.2","0.3","0.3","0.4","0.3","0.3","0.2","67.0","67.0","68.0","","","","","","42.0","26.0","14.0"
"Kazakhstan","15314.0","0.3","-0.1","-0.5","-0.8","-1.1","-1.2","-1.4","-1.5","-1.4","-1.2","-0.8","-0.3","0.2","0.5","0.7","0.7","0.7","56.0","56.0","58.0","","<2.0","","","","29.0","10.0","24.0"
"Kyrgyzstan","5259.0","1.4","1.1","0.8","0.7","0.8","1.0","1.3","1.5","1.6","1.6","1.4","1.2","1.0","0.9","0.9","1.0","1.1","38.0","35.0","36.0","","<2.0","","","","24.0","7.0","30.0"
"Latvia","2289.0","0.0","-0.7","-1.3","-1.6","-1.7","-1.5","-1.2","-1.0","-0.8","-0.8","-0.7","-0.7","-0.7","-0.7","-0.6","-0.6","-0.6","69.0","68.0","68.0","","","","<2.0","","40.0","22.0","14.0"
"Lithuania","3408.0","0.5","0.1","-0.2","-0.5","-0.6","-0.7","-0.7","-0.7","-0.8","-0.7","-0.7","-0.6","-0.5","-0.4","-0.4","-0.4","-0.5","68.0","67.0","66.0","<2.0","","","","","38.0","21.0","16.0"
"Luxembourg","461.0","1.1","1.2","1.3","1.4","1.4","1.4","1.4","1.4","1.4","1.3","1.2","1.0","0.9","0.8","0.8","0.9","1.0","81.0","84.0","83.0","","","","","","38.0","19.0","18.0"
"Malta","405.0","0.9","1.0","1.0","1.0","0.9","0.8","0.7","0.6","0.5","0.5","0.6","0.7","0.7","0.7","0.7","0.6","0.5","90.0","93.0","96.0","","","","","","38.0","19.0","17.0"
"Monaco","33.0","1.1","1.1","1.1","1.0","0.9","0.7","0.5","0.3","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","100.0","100.0","100.0","","","","","","","21.0","18.0"
"Montenegro","601.0","0.7","0.9","1.0","1.2","1.4","1.6","1.9","2.1","1.9","1.2","0.2","-0.9","-1.9","-2.5","-2.5","-1.9","-1.1","48.0","59.0","61.0","","","","","","35.0","18.0","19.0"
"Netherlands","16379.0","0.7","0.7","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.5","0.5","0.4","0.3","69.0","77.0","81.0","","","","","","39.0","20.0","18.0"
"Norway","4669.0","0.5","0.5","0.5","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.7","0.7","0.7","0.7","0.6","72.0","76.0","77.0","","","","","","38.0","20.0","19.0"
"Poland","38140.0","0.4","0.4","0.3","0.3","0.2","0.1","0.0","-0.1","-0.1","-0.1","-0.1","-0.1","-0.1","-0.1","-0.1","-0.1","-0.1","61.0","62.0","62.0","","","<2.0","","","37.0","17.0","16.0"
"Portugal","10579.0","-0.1","0.0","0.0","0.1","0.2","0.2","0.3","0.3","0.4","0.5","0.5","0.6","0.6","0.6","0.6","0.5","0.5","48.0","54.0","58.0","","","","","","39.0","22.0","16.0"
"Republic of Moldova","3833.0","0.5","0.3","0.2","0.0","-0.2","-0.5","-0.7","-1.0","-1.2","-1.3","-1.3","-1.4","-1.4","-1.4","-1.3","-1.2","-1.1","47.0","46.0","47.0","","","","<2.0","","33.0","15.0","19.0"
"Romania","21532.0","0.1","-0.2","-0.4","-0.6","-0.6","-0.6","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.4","54.0","55.0","54.0","","","","<2.0","","37.0","19.0","15.0"
"Russian Federation","143221.0","0.5","0.3","0.2","0.0","-0.1","-0.1","-0.1","-0.2","-0.2","-0.3","-0.3","-0.4","-0.5","-0.5","-0.5","-0.5","-0.5","73.0","73.0","73.0","","","<2.0","","","37.0","17.0","15.0"
"San Marino","31.0","1.2","1.3","1.3","1.3","1.2","1.1","0.8","0.7","0.7","1.0","1.5","2.1","2.5","2.6","2.4","1.9","1.4","90.0","90.0","93.0","","","","","","","26.0","14.0"
"Serbia","9851.0","0.9","1.2","1.5","1.5","1.3","0.9","0.4","0.1","-0.2","-0.4","-0.5","-0.6","-0.6","-0.6","-0.5","-0.3","-0.1","50.0","51.0","52.0","","","","","","37.0","19.0","18.0"
"Slovakia","5388.0","0.4","0.4","0.5","0.4","0.4","0.3","0.2","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","56.0","56.0","56.0","","","","","","36.0","16.0","16.0"
"Slovenia","2001.0","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","50.0","51.0","51.0","","","","","","41.0","21.0","14.0"
"Spain","43887.0","0.2","0.2","0.3","0.3","0.3","0.3","0.2","0.2","0.3","0.5","0.9","1.3","1.6","1.7","1.6","1.4","1.1","75.0","76.0","77.0","","","","","","39.0","22.0","14.0"
"Sweden","9078.0","0.6","0.7","0.7","0.7","0.6","0.4","0.2","0.1","0.0","0.0","0.1","0.2","0.3","0.4","0.4","0.4","0.4","83.0","84.0","84.0","","","","","","40.0","24.0","17.0"
"Switzerland","7455.0","0.9","0.9","1.0","0.9","0.8","0.7","0.5","0.4","0.3","0.3","0.3","0.4","0.4","0.5","0.5","0.4","0.4","68.0","73.0","76.0","","","","","","40.0","21.0","16.0"
